NO.,분류,계정,리전,서비스명,이름,환경,핵심/중요/일반,운영 체제,크기,개인 IP 주소,공용 IP 주소,디스크,WEB/WAS/DB/ETC
67,AWS,itopsdevelop,ap-northeast-2,plm,plm-dev-ec2-instance-2a,개발,일반,Linux,m6i.2xlarge,172.28.128.94,,2235,WEB/WAS/DB
68,AWS,itopspg,ap-northeast-2,,itopspg-lambda-linux-ec2,테스트,일반,Linux,t2.micro,172.27.1.6,,0,APP
69,AWS,itopspg,ap-northeast-2,,redis-test,테스트,일반,Linux,t2.micro,172.27.1.38,,0,APP
70,AWS,itopspg,ap-northeast-2,,mobile-redis,테스트,일반,Linux,t2.micro,172.27.1.35,,8,APP
71,AWS,itopspg,ap-northeast-2,nias,nias-stage-ec2-asg-nias,검증,일반,Linux,t3.small,172.27.180.51,,8,WEB/WAS
72,AWS,itopspg,ap-northeast-2,nias,nias-stage-ec2-instance-admin-page-2a,검증,일반,Linux,t3.small,172.27.180.34,,30,WEB/WAS
73,AWS,kdone,ap-northeast-2,gps,hs-svr GPS,운영,중요,Linux,r5.xlarge,10.39.0.136,15.165.21.252,300,WEB/WAS/DB
74,AWS,kdone,ap-northeast-2,homepage,KD DB,운영,중요,Windows Server,c5.xlarge,10.40.0.147,54.180.23.5,600,DB
75,AWS,kdone,ap-northeast-2,homepage,KD HomePage ETC,운영,중요,Windows Server,c5.xlarge,10.40.0.190,13.124.177.86,200,WEB/WAS
76,AWS,kdone,ap-northeast-2,mobile,Mobile-1,운영,중요,Linux,c5.2xlarge,10.38.0.171,3.34.208.7,100,WEB/WAS/DB
77,AWS,kdone,ap-northeast-2,api,API-Server,운영,중요,Linux,c5.2xlarge,10.38.0.123,54.180.194.5,500,APP
78,AWS,kdone,ap-northeast-2,ips,web-ips-mgt,운영,중요,Windows Server,m5.large,10.40.0.15,13.209.147.117,300,WEB/WAS/DB
79,AWS,kdone,ap-northeast-2,viewARS,ViewARS,운영,중요,Linux,m5.4xlarge,10.138.2.153,3.38.134.173,500,WEB/WAS/DB
80,AWS,kdone,ap-northeast-2,homepage,KD Navien,운영,중요,Windows Server,m5.xlarge,10.40.1.233,13.125.134.2,600,WEB/WAS
81,AWS,kdone,ap-northeast-2,mobile,Mobile-2,운영,중요,Linux,c5.2xlarge,10.38.1.127,52.79.129.1,100,WEB/WAS
82,AWS,kdone,ap-northeast-2,gqms,GQMS-PROD,운영,중요,Linux,t3.xlarge,10.138.14.227,,500,WEB/WAS/DB
83,AWS,kdone,ap-northeast-2,gqms,KD Navien OLD,운영,중요,Windows Server,c5.xlarge,10.40.0.57,15.164.255.142,220,WEB/WAS
84,AWS,kdone,ap-northeast-2,certification,common-certification,운영,중요,Linux,t3.large,10.138.4.32,15.164.75.133,1024,APP
85,AWS,kdone,ap-northeast-2,gqms,GQMS-DEV,개발,일반,Linux,t3.xlarge,10.138.15.224,,500,WEB/WAS
86,AWS,kdone,ap-northeast-2,homepage,KD Talent Development,운영,중요,Windows Server,m5.large,10.40.0.77,43.202.161.244,50,WEB/WAS
87,AWS,kdone,ap-northeast-2,mobile,Mobile-DEV,개발,일반,Linux,c5.2xlarge,10.38.2.96,43.203.3.227,100,WEB/WAS
88,AWS,kdwms,ap-northeast-2,wms,KD-WMS-DB-ACTIVE,운영,핵심,Windows Server,m5.4xlarge,10.50.38.85,,4250,DB
89,AWS,kdwms,ap-northeast-2,wms,KD-WMS-WAS-A,운영,핵심,Windows Server,r5.2xlarge,10.50.25.244,,250,WEB/WAS
90,AWS,kdwms,ap-northeast-2,wms,KD-WMS-DB-COLLECT,운영,핵심,Linux,m5.xlarge,10.50.39.26,,500,WEB/WAS/DB
91,AWS,kdwms,ap-northeast-2,wms,KD-WMS-QA (STAGE),검증,핵심,Windows Server,c5.2xlarge,10.50.39.191,,1400,WEB/WAS
92,AWS,kdwms,ap-northeast-2,wms,KD-WMS-DB-STANDBY,운영,핵심,Windows Server,r5.xlarge,10.50.43.223,,2200,DB
93,AWS,kdwms,ap-northeast-2,wms,KD-WMS-WAS-C,운영,핵심,Windows Server,r5.2xlarge,10.50.159.192,,200,WEB/WAS
94,AWS,kdwms,ap-northeast-2,wms,KD-WMS-DEV,개발,일반,Windows Server,m5.large,10.50.45.60,,200,WEB/WAS
95,AWS,kdwrms,ap-northeast-2,wrms,Prd-KDN-Mapi-Was2,운영,핵심,Linux,m5.large,31.147.31.10,,100,WEB/WAS
96,AWS,kdwrms,ap-northeast-2,wrms,Prd-KDN-Batch,운영,핵심,Linux,c5.large,31.147.31.12,,100,APP
97,AWS,kdwrms,ap-northeast-2,wrms,Dev-KDN-Was,개발,일반,Linux,c5.xlarge,31.147.20.10,,100,WEB/WAS
98,AWS,kdwrms,ap-northeast-2,wrms,Prd-KDN-DSM,운영,핵심,Linux,m5.large,31.147.10.10,52.78.13.80,100,WEB/WAS/DB
99,AWS,kdwrms,ap-northeast-2,wrms,Prd-KDN-Mapi-Was1,운영,핵심,Linux,m5.large,31.147.30.10,,100,WEB/WAS
100,AWS,kdwrms,ap-northeast-2,wrms,Prd-KDN-Report,운영,핵심,Linux,c5.xlarge,31.147.30.12,,100,APP
101,AWS,kdwrms,ap-northeast-2,wrms,Prd-KDN-Bo-Was2,운영,핵심,Linux,c5.xlarge,31.147.31.11,,100,WEB/WAS
102,AWS,kdwrms,ap-northeast-2,wrms,Prd-KDN-Bo-Was1,운영,핵심,Linux,c5.xlarge,31.147.30.11,,100,WEB/WAS
103,AWS,kdnias,ap-northeast-2,nias,nias.prod.ec2.asg-nias-b,운영,핵심,Linux,m5.large,172.26.6.181,,200,WEB/WAS
104,AWS,kdnias,ap-northeast-2,nias,nias.prod.ec2.instance.admin-page.az2a,운영,핵심,Linux,m5.large,172.26.5.66,,200,WEB/WAS
105,AWS,kdnias,ap-northeast-2,nias,nias.prod.ec2.asg-nias-a,운영,핵심,Linux,m5.large,172.26.5.143,,200,WEB/WAS
106,AWS,kdnias,ap-northeast-2,dbec,dbec-prod-ec2-instance-eg-standby-2c,운영,핵심,Linux,m6i.xlarge,172.26.9.95,,100,APP
107,AWS,kdnias,ap-northeast-2,dbec,dbec-prod-ec2-instance-console-2a,운영,핵심,Windows Server,t3.medium,172.26.9.17,,100,WEB/WAS
108,AWS,kdnias,ap-northeast-2,dbec,dbec-prod-ec2-instance-eg-active-2a,운영,핵심,Linux,m6i.xlarge,172.26.9.57,,100,APP
